lm_0_prob,lm_1_prob,lm_2_prob,lm_3_prob,lm_4_prob,lm_5_prob,lm_6_prob,lm_7_prob,lm_8_prob,lm_9_prob,lm_10_prob,lm_11_prob,lm_12_prob,lm_13_prob,lm_14_prob,lm_15_prob,lm_16_prob,lm_17_prob,lm_18_prob,lm_19_prob,lm_20_prob
5.760445166442299e-05,8.690952192406475e-09,4.0808306264003495e-10,4.4290406806349106e-10,1.209288023320839e-19,1.086551655181497e-08,8.011309538751621e-15,1.1880428660124533e-10,2.6267667696746434e-12,1.6988819786812722e-09,0.9980459741422982,1.6508322481938956e-13,7.285300445831853e-08,0.0018748307131147741,1.0154873994840058e-11,1.3557704405464008e-16,4.109707141069315e-12,2.1428859597942206e-05,2.4025393518019068e-14,3.1491801595581356e-12,6.673494046959618e-08
9.674393437196513e-17,1.6633010978577527e-14,2.83869409757031e-12,7.070778973695187e-14,5.394469307825165e-19,1.4864369992836326e-07,5.699446934712413e-08,3.085363341164443e-16,7.119690877454272e-13,0.9996536673457782,2.8089765156277916e-08,3.273466007166239e-18,3.0420960650640626e-11,0.00034605758794269565,1.2326177125432608e-09,2.3669628661742965e-25,8.520488859628692e-19,4.0071060142289354e-08,8.929148917253878e-19,6.074977609225627e-13,7.768518363113608e-17
3.331894851120145e-07,5.3756862427863445e-09,1.4956220808557436e-16,1.1758661257490493e-12,1.0849412128111195e-15,1.4219489552697748e-10,1.7667797514658596e-08,3.925759325391864e-08,9.952249041977342e-09,6.741589088519972e-12,0.9999843903050618,1.8696843506503964e-10,5.64095630457448e-06,3.0271853539649835e-12,1.9134516921511524e-13,4.360166036323108e-10,7.506998908223492e-07,3.725481217824298e-09,1.5050682858117664e-11,6.3088936126054025e-15,8.808079076482773e-06
1.5356078232082605e-15,3.055580830125804e-14,8.906111496549718e-11,3.2579131767564523e-08,2.816570010407348e-09,0.06818797521898973,2.1726981873072353e-09,1.559745766450604e-06,0.07630665258165457,2.942043530537235e-05,0.6749344871003077,0.18053763872916684,1.3781647882629795e-08,4.43587210635417e-10,5.736794890567114e-21,3.7204700879478476e-16,5.652520883192402e-13,3.115701563560706e-08,3.470433685738405e-15,7.295770075975163e-15,2.1831484891191224e-06
3.7157467742613806e-14,2.971943930654061e-22,1.8417342648858416e-14,1.1094932823539552e-13,1.4048366813408822e-16,5.054161128493918e-06,4.3087728837602134e-07,2.2325567386502315e-11,1.9043903506538153e-14,0.9934620596765616,6.184547337729905e-08,2.3961384839144766e-13,2.655586436629481e-12,0.006532393347428199,2.4004847888946795e-15,4.047795509474036e-20,2.0634918183461907e-20,2.293235341682238e-14,4.042211928413455e-16,6.66566109841886e-11,3.110644943468446e-14
1.3162160462536047e-09,1.5396966770249625e-11,3.68170361434584e-09,5.334053573416643e-10,6.69767991698793e-16,0.03826655344475354,1.0174690778005646e-15,2.9131988221396514e-20,7.378911533186987e-21,0.9616803351097827,3.962916344500362e-11,4.028476223515829e-15,3.974526266996502e-20,5.3105767935577366e-05,2.1109651660607726e-23,2.1481840934331982e-23,1.4547376978591162e-21,8.948920850139902e-11,1.5847668663767295e-12,2.151129149579338e-18,9.721534879629764e-14
0.003345019893612137,1.57400451968627e-12,1.7231908940249144e-14,1.489564840553963e-10,1.912134313176175e-08,2.1235500327970517e-08,8.035337181694388e-11,3.211101193593538e-07,0.9861355474064171,2.189151744090343e-14,0.010514131358654252,4.653825757935333e-06,3.9933331977330005e-10,6.367460858644666e-14,1.7613994755482553e-09,7.698644323698502e-13,4.1217674836317876e-13,2.99387481024615e-18,2.8354115358253406e-07,3.1282825127121914e-11,8.325780278853479e-11
5.901663290476527e-06,1.569501488089179e-12,4.6233965519288726e-14,3.994858705007069e-10,2.2214784914825522e-07,2.9460039252389015e-10,9.073072031643361e-11,3.356405735676965e-13,0.00888772116770365,8.413976118793675e-15,0.9889956892803484,5.707340969149121e-07,1.6070467094888907e-10,5.956482924480065e-15,1.0131970571509923e-10,6.35140496166348e-09,2.7862191172645256e-11,6.8121149344716786e-18,0.002109887161150853,4.103469789299048e-10,7.139511830110844e-12
2.5624019966114778e-05,1.0799333977000511e-12,5.695272594244922e-13,9.68863773304199e-11,8.375037843409528e-08,1.2934961286717588e-08,4.298186610331397e-11,7.8035686775495e-08,0.8394040114620546,9.204773538734699e-14,0.15983905443722116,0.0007099487127903373,2.1432524402033854e-11,9.299257764947978e-13,2.2757561450852195e-14,1.1308126126447182e-11,1.89696644844362e-14,5.470931317100097e-17,2.1186465901897628e-05,3.1892802480285197e-12,2.5279302307041626e-12
0.9382111474139244,8.822441591936949e-09,1.243004366456717e-12,2.1342210597334536e-07,1.8434227491247022e-08,0.00020997796139027747,1.1252041260137668e-12,5.782378116020026e-14,9.915906334442286e-06,0.004794405936384197,0.05003121841290278,3.0910582453951026e-07,1.3208114025586048e-13,1.7617282165035326e-07,1.246176506637988e-12,1.1486995409256614e-10,4.0570330429165264e-13,5.559000631287089e-10,0.006742607485526879,2.4900358006618814e-10,2.131584872742604e-12
1.7879113016327725e-90,1.777628331923909e-88,2.0566486477726462e-64,1.6946627284774702e-79,2.2893477913846884e-32,1.791895339742238e-68,2.1818517991761645e-07,2.2916426938882328e-05,0.9999736020311581,2.3756414710817842e-33,2.1247280775335965e-33,4.9545514339182396e-08,3.1981389655861232e-06,3.222338773818144e-153,3.6418253198773975e-84,5.172215182749127e-33,1.5672243302323844e-08,2.999507735332475e-116,2.1310258365880442e-47,3.5214150934687335e-45,1.6876852770644078e-33
